id,url,language,label,notes
252,https://yallashoot.org/,,,
253,https://www.yallalive.plus/,,,
254,https://yallashootenglish.com/,,,
255,https://yalla-shoot.video/,,,
256,https://www.yallashotl.com/home1shoot,,,
257,https://www.yalla-shoot-ssa.com/shotz11/,,,
258,https://www.kora4live.top/,,,
259,https://yariga.live/,,,
260,https://www.hdd7.live/,,,
261,https://live-kora-online.tv/,,,
262,https://livee.koraon.com/home23/,,,
263,https://yalla-live.in/yallashoot-live/,,,
264,https://w.livehd7.blog/u8/,,,
265,https://www.koora3ala100.com/,,,
266,https://www.yallashoot.ink/,,,
267,https://1d9r2.com/soccer,,,
268,https://www.maaksport-tvnise.site/,,,
269,https://dlhd.dad,,,
270,https://www.koora-city.com,,,
271,https://istreameast.app/v3,,,
272,https://www.yallashoot.video/home3/,,,
273,https://yaciine-tv.online/,,,
